Scientific Name,Fish name in English,Fish name in Arabic,Texture,Flavor,Bake,Broil,Fry,Grill,Poach,Saute,Smoke,Steam,Sushi,Image
Pseudocaranx dentex,White trevally,,Medium,Mild,,,,,,,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAugsV57jKbqXEfuleQGauaTMEMTsQb6du4g&usqp=CAU
Dentex dentex,Dentex,ريس,Delicate,Mild,,,,,,,,,,https://lh3.googleusercontent.com/proxy/kBiiWGljAkUA3yVt0K8S7dqVDsJxsvqUGwv1CFWZAH2Xfjfd6oyLi0ffUTIKOQd4vFTypvpSEvOKGNcXY3tWtX-aUAVPJ_5PhF1kVtKutjZOl4bZU3egj2Z8Xi1O5cUFgqV8v_AcAf7Qo9tscdak077oaG4afg
Dentex macrophtalmus,Large eye dentex,بحلق,Delicate,Mild,,,,,,,,,,https://lh3.googleusercontent.com/proxy/DxdFdInwYPJbIq91o8UxNjNKRVJkowXz9apmlos3NjuqqnHUqDSCge-N-sHJjiRt88yrc3czZ-w_TzRoJ77fBg4yvSj5anog91BLgkwaOJyy2pp1UpAPs0xLoHt6jmHfui4nYOXmghB3dp26FQAEWQ
Mullus surmuletus,Red mullet (Striped),سلطان ابراهيم صخري,Firm,Full,,,,,,,,,,
Mullus barbatus,Red mullet,سلطان ابراهيم رملي,Firm,Full,,,,,,,,,,
Mugil cephalus,Flathead grey mullet,بورى,Firm,Full,,,,,,,,,,
Chelon labrosus,Thicklip grey mullet,بورى,Firm,Full,,,,,,,,,,
Liza aurata,Golden grey mullet,بوري,Firm,Full,,,,,,,,,,
Sparus aurata,Gilthead bream,اجاج,Medium,Medium,,,,,,,,,,
Dicentrarchus punctatus,Spotted seabass,براك,Medium,Mild,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,
Dicentrarchus labrax,European seabass,براك,Medium,Mild,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,
Serranus cabrilla,Comber,شبر/كزاز/لقز,Medium,Medium,,,,,,,,,,
Mycteroperca rubra,Mottled grouper,لقز رملي ,Firm,Mild,Yes,Yes,Yes,Yes,No,No,No,Yes,No,
Epinephelus malabaricus,Malabar grouper,لقز,Firm,Mild,Yes,Yes,Yes,Yes,No,No,No,Yes,No,
Epinephelus costae,Goldblotch grouper,لقز,Firm,Mild,Yes,Yes,Yes,Yes,No,No,No,Yes,No,
Epinephelus aeneus,White grouper,لقز رملي,Firm,Mild,Yes,Yes,Yes,Yes,No,No,No,Yes,No,
Epinephelus guaza,Dusky grouper,حفش,Firm,Mild,Yes,Yes,Yes,Yes,No,No,No,Yes,No,
Epinephelus coioides,Orange-spotted grouper,لقز,Firm,Mild,Yes,Yes,Yes,Yes,No,No,No,Yes,No,
Epinephelus caninus,Dogtooth grouper,خنزيره,Firm,Mild,Yes,Yes,Yes,Yes,No,No,No,Yes,No,
Epinephelus marginatus,Dusky grouper,لقز,Firm,Mild,Yes,Yes,Yes,Yes,No,No,No,Yes,No,
Sphyraena sphyraena,European barracuda,سفرني,Firm,Full,Yes,Yes,No,Yes,No,Yes,Yes,No,No,
Sphyraena viridensis,Barracuda,مليفة,Firm,Full,Yes,Yes,No,Yes,No,Yes,Yes,No,No,
Alosa fallax,Twaite shad,,Delicate,Mild,,,,,,,,,,
Coris julis,Mediterranean rainbow wrasse,حريصة,Delicate,Mild,,,,,,,,,,
Thalassoma pavo,Scale-rayed wrasse,ديك حريص,Delicate,Mild,,,,,,,,,,
Pagrus pagrus pagrus,Red Porgy,جربيدي مكحل,Delicate,Mild,,,,,,,,,,
Scomber japonicas,Chub mackerel,غزال,Medium,Full,,,,,,,,,,
Scombermorus commerson,Spanish mackerel,غزال,Medium,Full,,,,,,,,,,
Rasrelliger kanagurata,Indian mackerel,خضرا,Medium,Full,,,,,,,,,,
Scomber scombrus,Atlantic mackerel,سكمبري,Medium,Full,,,,,,,,,,
Trachurus Meditterraneus,horse mackerel,عصيفر,Medium,Full,,,,,,,,,,
Rachurus trachurus,Atlantic horse mackerel,عصيفر,Medium,Full,,,,,,,,,,
Engraulis encrasicolus,European anchovy,أنشوفة,Delicate,Full,,,,,,,,,,
Caranx crysos,Bluestripe jack,باغة,Medium,Full,,,,,,,,,,
Pomadasys incisus,Bastard grunt,كيراك,Delicate,Mild,,,,,,,,,,
Diplodus vulgaris,Two- banded Seabream,خرقان,Delicate,Mild,,,,,,,,,,
Diplodus cervinus,Zebra seabream,حداد,Delicate,Mild,,,,,,,,,,
Pagellus acarne,Axillary seabream,ذكر جربيدي,Delicate,Mild,,,,,,,,,,
Oblada melanura,Saddled seabream,مرمورة,Delicate,Mild,,,,,,,,,,
Diplodus annularis,Annualar Seabream,سرغانو,Delicate,Mild,,,,,,,,,,
Diplodus sargus,White Seabream,سرغوس,Delicate,Mild,,,,,,,,,,
Spondyliosoma cantharus,black seabream,سكنتر,Delicate,Mild,,,,,,,,,,
Lithognathus mormyrus,Striped Seabream,مرمورة,Delicate,Mild,,,,,,,,,,
Diplodus puntazzo,Sharpsnout seabream,عصفور,Delicate,Mild,,,,,,,,,,
Pagellus erythrinus,Pandora,اجاج,Firm,Mild,,,,,,,,,,
Boops boops,Bogue,غبص,Delicate,Mild,,,,,,,,,,
Sarpa salpa,Salema,صلبن,Delicate,Mild,,,,,,,,,,
Seriola dumerili,Greater amberjack,انتياس,Firm,Mild,No,Yes,No,Yes,No,Yes,Yes,No,Yes,
Umbrina cirrosa,Shi drum,لقز,Firm,Mild,Yes,Yes,No,Yes,No,Yes,No,No,No,
Atherina hepsetus,Mediterranean sand smelt,بزري,Delicate,Mild,,,,,,,,,,
Atherina boyeri,Big- scale sand smelt,بزري,Delicate,Mild,,,,,,,,,,
Chromis chromis,Mediterranean chromis,عفريت,Delicate,Mild,,,,,,,,,,
Merluccius merluccius,European hake,عرموط أبيض ,Delicate,Mild,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,
Sarda Sarda,Atlantic bonito,غزال,Firm,Full,,,,,,,,,,
Xiphias gladius,Swordfish,ابو سيف,Firm,Medium,Yes,Yes,No,Yes,No,Yes,Yes,No,No,
Scorpaena scrofa,Red scorpionfish,عقرب أحمر ,Delicate,Medium,,,,,,,,,,
Scorpaena porcus,Black scorpionfish,اشتعروب,Delicate,Medium,,,,,,,,,,
Orcynopsis unicolor,Plain bonito,تونة/طون,Firm,Full,No,Yes,No,Yes,No,Yes,No,No,Yes,
Sardinella aurita,Rounds sardinella,سردين,Delicate,Full,Yes,yes,Yes,Yes,Yes,No,Yes,No,Yes,
Sardina pilchardus,European pilchard,سردين اوروبي,Delicate,Full,,,,,,,,,,
Muraena Helena,Mediterranean moray,زريمباية,Medium,Full,,,,,,,,,,
Anguilliformes,Eel,حنكليس,Medium,Full,,,,,,,,,,
Spicara maena,Blotched picarel,زمردة,Delicate,Mild,,,,,,,,,,
Argyrosomus regius,shadefish,مسكار,Firm,Medium,,,,,,,,,,
Lichia amia,Leerfish,كربال/طرخون/غزال ,Medium,Mild,,,,,,,,,,
Arnoglossus laterna,Scald fish,موسى,Delicate,Mild,,,,,,,,,,
Pomatomus saltator,Bluefish,مغرس,Firm,Full,,,,,,,,,,
Polyprion americanus,Wreck fish,حفش,Firm,Mild,,,,,,,,,,
Acipenseridae,Sturgeon,حفش,Firm,Medium,No,Yes,No,Yes,No,Yes,Yes,No,No,
Sciaena umbra,Brown meager,غراب,Firm,Mild,,,,,,,,,,
Siganus luridus,Dusky spinefoot,بطاطا,Medium,Medium,,,,,,,,,,
Trachinotus ovatus,Pompano,طرخون ابيض,Firm,Mild,,,,,,,,,,
Syngnathus typhle,Broadnosed pipefish,ماليطا,delicate,Mild,,,,,,,,,,
Channidae,Snakehead fish,عرموط,Firm,Mild,,,,,,,,,,